NOM_ABREV_ORGAO;SGL_UF;NOM_LOCALIDADE;COD_TIPO_AUTOR;UO__Cod_;NOM_ABREV_UNID_ORCA;COD_AUTOR;COD_EMENDA;NOM_AUTOR;SGL_PARTIDO;FUNCPROG;SALDO;UF_AUTOR;Título;200;270;410;420;510
M. da Educação;AM;Amazonas;01;26203;CEFET - AM;3495;34950013;Francisco Garcia;PP;12.363.1062.6380.0080;50000;AM;Fomento ao Desenvolvimento da Educação Profissional - Aquisição de equipamentos para o Laboratório de Motores - Estado do Amazonas;50000;50000;0;0;0
M. da Educação;AM;Amazonas;01;26270;Fund. Univ. do Amazonas;1153;11530004;Humberto Michiles;PL;12.364.1073.4004.0013;250000;AM;Serviços à Comunidade por meio da Extensão Universitária - No Estado do Amazonas;710836;710836;710836;405938,31;405938,31
M. da Educação;AM;Amazonas;01;26270;Fund. Univ. do Amazonas;1155;11550013;Lupércio Ramos;PPS;12.364.1073.6373.0174;150000;AM;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Recuperação de Prédios do Patrimônio Arquitetônico da UFAM - Estado do Amazonas.;150000;150000;0;0;0
M. da Educação;AM;Amazonas;01;26270;Fund. Univ. do Amazonas;3495;34950014;Francisco Garcia;PP;12.302.1073.6379.0040;100000;AM;Complementação para o Funcionamento dos Hospitais de Ensino Federais - Aquisição de Equipamentos para o Hospital Universátirio Getúlio Vargas - HUGV/UFAM - Estado do Amazonas;100000;100000;0;0;0
M. da Educação;AM;Amazonas;02;26203;CEFET - AM;2228;22280001;Gilberto Miranda;PFL;12.363.1062.6301.0013;50000;AM;Acervo Bibliográfico para as Instituições da Rede Federal de Educação Profissional - No Estado do Amazonas;200000;200000;128179,48;111746,78;111746,78
M. da Educação;AM;Amazonas;02;26203;CEFET - AM;2264;22640002;Jefferson Peres;PDT;12.363.1062.6374.0013;100000;AM;Modernização e Recuperação de Infra-Estrutura Física de Instituições Federais de Educação Profissional - No Estado do Amazonas;800000;800000;697356,74;601442,98;595274,98
M. da Educação;AM;Amazonas;02;26270;Fund. Univ. do Amazonas;2264;22640001;Jefferson Peres;PDT;12.364.1073.4008.0013;150000;AM;Acervo Bibliográfico destinado às Instituições Federais de Ensino Superior e Hospitais de Ensino - No Estado do Amazonas;250000;250000;82491,4;36820;13426
M. da Educação;AM;Amazonas;08;26270;Fund. Univ. do Amazonas;7104;71040008;Bancada do Amazonas;S/PARTIDO;12.364.1073.1E16.0002;6862000;AM;Construção do Instituto de Ciências Exatas da Fundação Universidade Amazonas - no Estado do Amazonas;6862000;6862000;0;0;0
M. da Educação;AM;Humaitá;02;26298;FNDE;2264;22640007;Jefferson Peres;PDT;12.365.1065.09HJ.0022;200000;AM;Apoio à Reestruturação da Rede Física Pública de Educação Infantil - Humaitá - AM;200000;200000;0;0;0
M. da Educação;AM;Manaus;01;26203;CEFET - AM;1147;11470006;Carlos Souza;PP;12.364.1073.6368.0002;50000;AM;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Aquisição de Equipamentos para Laboratórios de Construção Civil - Manaus - AM;50000;50000;0;0;0
M. da Educação;AM;Manaus;01;26203;CEFET - AM;1622;16220001;Pauderney Avelino;PFL;12.364.1073.6368.0080;180000;AM;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Aquisição de Onibus para Transporte de Alunos - Manaus - AM;180000;180000;0;0;0
M. da Educação;AM;Manaus;01;26203;CEFET - AM;3497;34970001;Vanessa Grazziotin;PC DO B;12.363.1062.6374.0054;300000;AM;Modernização e Recuperação de Infra-Estrutura Física de Instituições Federais de Educação Profissional - Aquisição de Equipamentos para o Laboratorio da UNED - Manaus - AM;300000;300000;0;0;0
M. da Educação;AM;Manaus;01;26270;Fund. Univ. do Amazonas;1147;11470005;Carlos Souza;PP;12.364.1073.6368.0118;250000;AM;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Aquisição de Equipamentos para as Atividades de Assistência, Ensino e Pesquisa na Área Médico-hospitalar (HUGV) - Manaus - AM;350000;350000;0;0;0
M. da Educação;AM;Manaus;01;26270;Fund. Univ. do Amazonas;1622;16220011;Pauderney Avelino;PFL;12.364.1073.6373.0206;200000;AM;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Construção de Ginásio de Esportes para Deficientes Físicos - Manaus-AM;200000;200000;0;0;0
