Programa de trabalho;PTRES;Dotação Inicial
12368203020RP7066;70517;400000
12368203020RP7068;70518;700000
12368203020RP7070;70519;10100000
12368203020RP7076;70520;13400000
12368203020RP7078;70521;10000000
12368203020RP7080;70522;1981200000
12368203020RP7082;70523;10000000
12368203020RP7084;70524;15000000
12368203020RP7086;70525;250000
12368203020RP7090;70526;7250000
12368203020RP7092;70527;8600000
12368203020RQ0001;61637;5000000
12368203020RR0001;61638; 
12368203020RS0001;61639;748845717
12368203020RS0032;70528;800000
12368203020RT0001;61640;3150000
12368203020RU0001;61641;1500000
12847203000FA0001;61642;3990000
12847203000FA0101;68150;110000
12847203005090000;61643;2100000
12847203005090000;70559;400000
12847203005090000;70560;3150000
12847203005090000;70561; 
12847203005090000;70562;1000000
12847203005090000;70563;250000
12847203005090000;70564;1000000
12847203005090000;70565;250000
12847203005090000;70566;100000
12847203005090300;68151;720000
12847203005091600;70567;800000
12847203005091700;70568;900000
12847203005091700;70569;250000
12847203005092000;70570;100000
12847203005092700;70571;2000000
12847203005093200;70572;700000
12847203005093300;70573;10000000
12847203005093300;70574;140000
12847203005093900;70575;100000
12847203005093900;70576;150000
12847203005097000;70577;1000000
12847203005097000;70578;100000
12847203005097000;70579;100000
12847203005097000;70580;1000000
12847203005097000;70581;1500000
12847203005097000;70582;20000000
12847203005097000;70583;21606827
12847203005097000;70584;20000000
12847203005097000;70585;50000000
12847203005097000;70586;2337834300
12847203005097000;70587;10745889355
12847203005097000;70588;79200000
12847203005097000;70589;400000000
12847203005097000;70590;26574121
12847203005150000;61624;1000000
12847203005150000;61626;800000
1,79769313486232E+308;61590;4000000
1,79769313486232E+308;61649;48000000
1,79769313486232E+308;61652;21606827
1,79769313486232E+308;70529;6000000
1,79769313486232E+308;70530;1000000
1,79769313486232E+308;70531;450000
1,79769313486232E+308;70532;49521862
1,79769313486232E+308;70533;1900000
1,79769313486232E+308;70534;13157703
1,79769313486232E+308;70535;6120000
1,79769313486232E+308;70536;30051080
1,79769313486232E+308;70537;550000
1,79769313486232E+308;70538;3450000
1,79769313486232E+308;70539;19389395
1,79769313486232E+308;70540;100000
1,79769313486232E+308;70541;300000
1,79769313486232E+308;70542;250000
1,79769313486232E+308;70543;250000
1,79769313486232E+308;70544;300000
1,79769313486232E+308;70545;180000
1,79769313486232E+308;68149;400000
1,79769313486232E+308;70546;300000
1,79769313486232E+308;70547;184000
1,79769313486232E+308;70548;150000
1,79769313486232E+308;70549;3000000
1,79769313486232E+308;70550;800000
1,79769313486232E+308;70551;200000
