1200203	1
1200302	5
1200344	1
1200385	1
1200807	1
1200401	10
1200450	1
1200500	1
1200609	2
2700102	1
2700409	2
2701407	3
2703007	1
2704005	1
2704104	1
2704302	17
2704500	1
2704708	2
2705002	1
2705606	1
2705705	1
2706422	1
2706703	1
2707107	1
2707305	1
2707503	1
2708006	1
2709103	1
2709152	1
1300102	1
1300300	3
1300508	1
1301001	2
1301209	7
1301704	3
1301902	4
1302207	1
1302405	2
1302504	7
1302603	55
1302801	2
1303007	1
1303304	1
1303403	6
1303502	1
1303569	2
1303809	1
1304062	3
1304104	1
1304203	7
1304260	1
1600600	1
2900702	2
2900801	1
2902104	3
2902708	1
2903201	9
2903409	1
2904050	1
2904100	1
2904407	1
2904704	1
2905800	1
2905909	1
2906709	1
2906873	1
2906907	1
2907103	1
2907202	6
2907509	1
2907608	1
2908101	1
2908408	3
2908507	1
2909307	1
2909802	1
2910503	1
2910701	1
2910727	4
2910750	1
2910800	2
2911204	1
2911709	3
2912202	1
2912905	1
2913606	4
2914000	2
2914604	1
2914653	2
2914802	3
2914901	1
2916401	2
2917201	1
2917508	2
2917607	2
2917805	1
2918001	5
2918753	1
2919157	1
2919207	4
2919504	1
2919553	1
2919801	2
2920205	1
2921203	1
2923209	1
2924306	1
2924678	1
2925105	2
2925204	1
2925253	1
2925303	6
2925758	1
2926004	1
2926202	1
2926301	1
2926608	1
2927408	3
2928109	2
2928604	1
2928802	2
2928901	2
2929057	1
2929206	1
2929503	1
2929909	2
2930105	1
2930204	3
2931806	1
2931905	1
2932804	1
2933208	1
2933307	2
2933604	1
2300309	1
2301000	1
2302404	2
2302602	2
2303501	1
2304400	10
2305506	1
2305902	1
2306306	1
2306405	1
2307304	3
2307650	2
2308005	1
2311306	1
2311801	1
2312007	1
2312908	3
2314102	2
5300108	31
3200607	1
3202405	2
3203007	1
3203403	1
3204054	1
3204559	1
3204708	1
3204906	1
3205002	13
3205176	1
3205200	9
5200100	1
5201108	13
5201405	18
5203500	1
5204508	2
5205307	1
5205802	1
5208004	1
5208608	1
5208707	4
5208806	2
5209200	1
5210406	1
5211800	1
5212501	6
5214507	1
5214606	2
5217302	1
5217609	2
5218003	1
5218508	1
5218805	2
5219753	1
5219803	1
5220207	1
5221403	4
5221601	2
2100055	4
2100402	1
2100436	1
2100477	1
2100600	2
2100907	2
2101400	6
2101608	1
2102101	2
2102200	2
2102325	5
2102358	1
2102804	1
2102903	1
2103000	6
2103174	1
2103208	1
2103307	3
2103406	5
2103505	3
2103554	1
2103604	1
2103703	2
2104008	1
2104081	1
2104099	1
2104206	1
2104651	1
2104677	1
2104800	3
2105005	1
2105153	1
2105351	1
2105708	3
2106300	1
2106409	1
2106706	1
2106755	1
2106904	1
2107100	1
2107506	1
2108058	1
2108256	1
2108306	2
2108454	1
2108603	4
2109106	1
2109270	1
2109601	1
2109809	1
2110104	2
2110401	2
2110500	1
2110609	1
2110708	2
2110906	1
2111003	1
2111102	1
2111201	5
2111409	1
2111706	1
2111722	1
2111763	1
2111805	1
2112100	1
2112209	5
2112308	2
2112704	1
2114007	1
3101706	1
3102605	1
3103504	3
3104205	1
3105608	2
3106705	8
3107109	1
3107802	1
3108255	1
3109402	2
3111309	1
3111606	1
3113008	1
3113404	1
3113701	1
3115300	1
3118809	1
3119104	1
3119401	1
3124104	3
3125952	1
3127107	2
3127701	5
3128105	1
3129707	1
3129806	3
3130051	1
3130903	1
3131307	2
3131901	1
3132305	1
3132404	2
3132503	2
3132701	1
3133808	2
3134202	3
3136207	2
3136306	2
3136702	2
3137007	1
3137205	1
3138401	1
3140001	2
3141405	1
3142809	1
3143104	1
3143302	11
3143450	1
3144003	1
3144300	1
3145356	1
3146305	1
3147006	3
3147600	1
3147907	1
3148103	3
3148707	2
3152105	1
3152808	1
3155603	2
3157203	1
3157708	1
3157807	6
3159605	1
3161106	2
3162450	1
3164506	1
3165537	1
3167103	1
3168606	1
3169307	2
3169604	1
3169901	2
3170107	2
3170404	1
3170529	1
3170800	1
3170909	1
3171204	4
5000609	2
5001102	3
5002704	2
5003702	7
5004809	1
5005707	1
5007208	1
5007901	1
5007950	1
5100250	1
5100508	1
5102504	2
5102678	1
5103254	2
5103353	2
5103403	12
5103700	1
5105150	1
5106299	1
5106422	1
5106752	1
5107800	1
5107958	1
5108402	8
5105507	1
1500107	5
